Function,Dimension,MaxTemp,MinTemp,CoolingDecr,NumIterations,BestFitness
DeJong1,5,2944.444445,0.043333333,0.971111111,23,0.010687949
DeJong1,10,1000,0.05,0.98,20,0.195339388
DeJong2,5,5000,0.05,0.98,20,0.806989098
DeJong2,10,10000,0.01,0.98,20,15.84281108
Schwefel,5,1000,0.05,0.98,20,51.80577476
Schwefel,10,5000,0.1,0.98,20,972.0760203
