Function,Dimension,MaxTemp,MinTemp,CoolingDecr,NumIterations,BestFitness
DeJong1,5,1000,0.1,0.98,20,0.006730769543670395
DeJong1,10,1000,0.01,0.98,20,0.2072849160649242
DeJong2,5,5000,0.01,0.98,20,0.9800254618311033
DeJong2,10,5000,0.01,0.98,30,17.57391146071464
Schwefel,5,10000,0.05,0.98,20,41.2778387647968
Schwefel,10,1000,0.01,0.98,20,561.6281962726689
