Function,Dimension,MaxTemp,MinTemp,CoolingDecr,NumIterations,BestFitness
DeJong1,5,1000.0,0.01,0.95,10,0.005242802687625573
DeJong1,10,1000.0,0.1,0.95,10,0.24880001010980818
DeJong2,5,1000.0,0.01,0.99,50,0.9179677400817399
DeJong2,10,1000.0,0.1,0.98,20,13.857577796146025
Schwefel,5,10000.0,0.01,0.98,20,20.196883768266616
Schwefel,10,3666.666667,0.03,0.976666667,25,787.9278640149951
