Algorithm,Function,Dimension,Min,Max,Mean,Median,StdDev,MaxTemp,MinTemp,CoolingDecr,NumIterations,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.443590648,1.506903331,1.063172603,1.117057408,0.262695385,1000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.433427163,0.97224132,0.669330124,0.675018972,0.142499071,1000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,5.309574592,23.74369128,15.47049389,15.1841985,4.554834255,1000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.615165289,1.768668976,1.070882908,1.013347798,0.306373523,1000,0.1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.236722254,1.088480134,0.643162665,0.604748128,0.189811902,1000,0.1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,5.64716786,22.95657534,14.73313832,15.92168751,4.722420556,1000,0.1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.607549029,1.479462948,0.985883938,0.954965423,0.222251568,5000,0.1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.409857685,1.146741216,0.832556142,0.854702211,0.193784729,5000,0.1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,6.178634627,24.64206534,15.90582532,16.30846961,4.221294761,5000,0.1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.490910343,1.250682874,0.860399818,0.858203802,0.20625039,5000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.428494728,1.16904384,0.818054571,0.825510863,0.200219217,5000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,8.106191104,22.65277778,15.98918,16.13628506,3.670032764,5000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.238039402,1.547816083,1.012109969,1.042470277,0.333713747,5000,0.05,0.95,10,,,,,,,,,,,,,,,
