Algorithm,Function,Dimension,Min,Max,Mean,Median,StdDev,MaxTemp,MinTemp,CoolingDecr,NumIterations,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1350.673647,2138.429801,1796.514003,1804.268203,179.1308638,5000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1353.219013,2581.230425,2035.88148,2029.873715,282.6916855,5000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,791.796757,2295.116833,1708.462016,1718.507334,297.4080082,5000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1306.997648,2166.412504,1796.314452,1829.612321,176.8472626,5000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1715.356751,2462.812099,2184.295603,2235.434967,173.8178276,10000,1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1156.322058,2258.415251,1788.960409,1796.23278,258.4907161,10000,1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1394.388683,2096.069288,1809.125635,1849.756264,170.0896822,10000,1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1039.434496,2506.170812,1960.668264,1983.092554,310.7594856,10000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1041.219274,2116.716624,1646.527781,1686.667931,262.2357443,10000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1458.966159,2137.165753,1856.395205,1864.125913,165.8678508,10000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1467.370139,2375.268014,2014.506023,2034.136483,218.6161444,10000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1170.211754,2177.518918,1800.693428,1821.183993,210.2081813,10000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1552.532118,2094.52687,1846.10045,1869.532073,143.0147159,10000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1098.783924,2336.12442,1708.704544,1745.38584,308.6241404,5000,0.01,0.98,30,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1423.13272,2217.009957,1721.95211,1665.420234,229.127804,3666.666667,0.03,0.976666667,25,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1093.046044,2304.869612,1767.409326,1818.031756,266.139313,2944.444445,0.043333333,0.971111111,23,,,,,,,,,,,,,,,
